ID;Bezeichnung (DE);Kommentar (DE);;
113A;TERRA GREY (A);A;;
114A;TUNDRA (A);A;;
139A;READY TO PAINT (A);A;;
165A;LAVA (A);A;;
197A;OLD FOREST OAK (A);A;;
198A;NEW FOREST OAK (A);A;;
204A;UMBRA (A);A;;
206A;PASTEL BARDOLIA (A);A;;
226A;DARK FOREST OAK (A);A;;
270A;STONE (A);A;;
277A;FOREST BROWN OAK (A);A;;
278A;FOREST FJELL OAK (A);A;;
430A;BLACK (A);A;;
602A;SANDY BEACH (A);A;;
605A;RETROBLAU (A);A;;
730A;CARBON (A);A;;
751A;WHITE (A);A;;
752A;BLOSSOM WHITE (A);A;;
763A;PASTEL GREY (A);A;;
765A;PASTEL SHADOW (A);A;;
766A;PASTEL SMOKE (A);A;;
771A;PASTEL LOAM (A);A;;
781A;KASHMIR (A);A;;
851A;DAYLIGHT GREY (A);A;;
875A;CLAY DARK (A);A;;
879A;BEACH GREY (A);A;;
113B;TERRA GREY (B);B;;
114B;TUNDRA (B);B;;
139B;READY TO PAINT (B);B;;
165B;LAVA (B);B;;
197B;OLD FOREST OAK (B);B;;
198B;NEW FOREST OAK (B);B;;
204B;UMBRA (B);B;;
206B;PASTEL BARDOLIA (B);B;;
226B;DARK FOREST OAK (B);B;;
270B;STONE (B);B;;
277B;FOREST BROWN OAK (B);B;;
278B;FOREST FJELL OAK (B);B;;
430B;BLACK (B);B;;
602B;SANDY BEACH (B);B;;
605B;RETROBLAU (B);B;;
730B;CARBON (B);B;;
751B;WHITE (B);B;;
752B;BLOSSOM WHITE (B);B;;
763B;PASTEL GREY (B);B;;
765B;PASTEL SHADOW (B);B;;
766B;PASTEL SMOKE (B);B;;
771B;PASTEL LOAM (B);B;;
781B;KASHMIR (B);B;;
851B;DAYLIGHT GREY (B);B;;
875B;CLAY DARK (B);B;;
879B;BEACH GREY (B);B;;
113CL;TERRA GREY (CL);CL;;
114CL;TUNDRA (CL);CL;;
139CL;READY TO PAINT (CL);CL;;
165CL;LAVA (CL);CL;;
197CL;OLD FOREST OAK (CL);CL;;
198CL;NEW FOREST OAK (CL);CL;;
204CL;UMBRA (CL);CL;;
206CL;PASTEL BARDOLIA (CL);CL;;
270CL;STONE (CL);CL;;
277CL;FOREST BROWN OAK (CL);CL;;
278CL;FOREST FJELL OAK (CL);CL;;
430CL;BLACK (CL);CL;;
602CL;SANDY BEACH (CL);CL;;
605CL;RETROBLAU (CL);CL;;
730CL;CARBON (CL);CL;;
751CL;WHITE (CL);CL;;
752CL;BLOSSOM WHITE (CL);CL;;
781CL;KASHMIR (CL);CL;;
851CL;DAYLIGHT GREY (CL);CL;;
875CL;CLAY DARK (CL);CL;;
879CL;BEACH GREY (CL);CL;;
113FL;TERRA GREY (FL);FL;;
114FL;TUNDRA (FL);FL;;
139FL;READY TO PAINT (FL);FL;;
165FL;LAVA (FL);FL;;
197FL;OLD FOREST OAK (FL);FL;;
198FL;NEW FOREST OAK (FL);FL;;
204FL;UMBRA (FL);FL;;
206FL;PASTEL BARDOLIA (FL);FL;;
226FL;DARK FOREST OAK (FL);FL;;
270FL;STONE (FL);FL;;
277FL;FOREST BROWN OAK (FL);FL;;
278FL;FOREST FJELL OAK (FL);FL;;
430FL;BLACK (FL);FL;;
602FL;SANDY BEACH (FL);FL;;
605FL;RETROBLAU (FL);FL;;
730FL;CARBON (FL);FL;;
751FL;WHITE (FL);FL;;
752FL;BLOSSOM WHITE (FL);FL;;
763FL;PASTEL GREY (FL);FL;;
765FL;PASTEL SHADOW (FL);FL;;
766FL;PASTEL SMOKE (FL);FL;;
771FL;PASTEL LOAM (FL);FL;;
781FL;KASHMIR (FL);FL;;
851FL;DAYLIGHT GREY (FL);FL;;
875FL;CLAY DARK (FL);FL;;
879FL;BEACH GREY (FL);FL;;
113FM;TERRA GREY (FM);FM;;
145FM;SNOW (FM);FM;;
165FM;LAVA (FM);FM;;
204FM;UMBRA (FM);FM;;
211FM;DARK CONCRETO (FM);FM;;
241FM;RIPASSO DARK OAK (FM);FM;;
243FM;OLIVE GREEN (FM);FM;;
247FM;RIPASSO WALNUT (FM);FM;;
270FM;STONE (FM);FM;;
602FM;SANDY BEACH (FM);FM;;
730FM;CARBON (FM);FM;;
751FM;WHITE (FM);FM;;
752FM;BLOSSOM WHITE (FM);FM;;
781FM;KASHMIR (FM);FM;;
815FM;GRIGIO (FM);FM;;
851FM;DAYLIGHT GREY (FM);FM;;
854FM;CONCRETO (FM);FM;;
875FM;CLAY DARK (FM);FM;;
878FM;JUST GREY (FM);FM;;
879FM;BEACH GREY (FM);FM;;
111FH;CITY NATURE OAK (FM/HOR);FM/HOR;;
852FH;NOGERO (FM/HOR);FM/HOR;;
111FV;CITY NATURE OAK (FM/VER);FM/VER;;
852FV;NOGERO (FM/VER);FM/VER;;
212FX;FENIX BLACK (0720);FX;;
213FX;FENIX GREY (0724);FX;;
222FX;FENIX ACCIAIO HAMILTON (5000);FX;;
223FX;FENIX GREEN (0750);FX;;
224FX;FENIX RED (0751);FX;;
225FX;FENIX BLUE (0754);FX;;
227FX;FENIX BIANCO ALASKA (0030);FX;;
228FX;FENIX GRIGIO LONDRA (0718);FX;;
240FX;FENIX BEIGE ARIZONA (0748);FX;;
260FX;FENIX BIANCO KOS (0032);FX;;
351FX;FENIX BIANCO MALÉ (0029);FX;;
352FX;FENIX CASTORO OTTAWA (0717);FX;;
353FX;FENIX GRIGIO EFESO (0725);FX;;
355FX;FENIX CACAO ORINOCO (0749);FX;;
356FX;FENIX BEIGE LUXOR (0719);FX;;
357FX;FENIX GRIGIO ANTRIM (0752);FX;;
361FX;FENIX VERDE KITAMI (0794);FX;;
364FX;FENIX BLU SHABA (0792);FX;;
365FX;FENIX VERDE BRAC (0773);FX;;
366FX;FENIX AZZURO NAXOS (0771);FX;;
367FX;FENIX GRIGIO ARAGONA (0793);FX;;
368FX;FENIX ROSSO NAMIB (0789);FX;;
369FX;FENIX ORO CORTEZ (5003);FX;;
371FX;FENIX ROSSO ASKJA (0770);FX;;
373FX;FENIX GIALLO EVORA (0791);FX;;
374FX;FENIX ARGENTO DUKAT (5001);FX;;
376FX;FENIX VIOLA ORISSA (0790);FX;;
113HL;TERRA GREY (HL);HL;;
114HL;TUNDRA (HL);HL;;
145HL;SNOW (HL);HL;;
165HL;LAVA (HL);HL;;
