image_path,absolute_path,material_type,subcategory,color_code,caption,txt_file
Echtlackfront/SC/843SC_converted.jpeg,/sessions/zen-nice-ritchie/mnt/Frontfarben/Echtlackfront/SC/843SC_converted.jpeg,Echtlackfront,SC,843,"genuine lacquer front SC 843, dark blue ultra matte smooth kitchen door surface",Echtlackfront/SC/843SC_converted.txt
Echtlackfront/SC/145SC_converted.jpeg,/sessions/zen-nice-ritchie/mnt/Frontfarben/Echtlackfront/SC/145SC_converted.jpeg,Echtlackfront,SC,145,"genuine lacquer front SC 145, white ultra matte smooth kitchen door surface",Echtlackfront/SC/145SC_converted.txt
Echtlackfront/SC/270SC_converted.jpeg,/sessions/zen-nice-ritchie/mnt/Frontfarben/Echtlackfront/SC/270SC_converted.jpeg,Echtlackfront,SC,270,"genuine lacquer front SC 270, white ultra matte smooth kitchen door surface",Echtlackfront/SC/270SC_converted.txt
Echtlackfront/SC/879SC_converted.jpeg,/sessions/zen-nice-ritchie/mnt/Frontfarben/Echtlackfront/SC/879SC_converted.jpeg,Echtlackfront,SC,879,"genuine lacquer front SC 879, light gray ultra matte smooth kitchen door surface",Echtlackfront/SC/879SC_converted.txt
Echtlackfront/SC/165SC_converted.jpeg,/sessions/zen-nice-ritchie/mnt/Frontfarben/Echtlackfront/SC/165SC_converted.jpeg,Echtlackfront,SC,165,"genuine lacquer front SC 165, medium gray ultra matte smooth kitchen door surface",Echtlackfront/SC/165SC_converted.txt
Echtlackfront/SC/602SC_converted.jpeg,/sessions/zen-nice-ritchie/mnt/Frontfarben/Echtlackfront/SC/602SC_converted.jpeg,Echtlackfront,SC,602,"genuine lacquer front SC 602, light brown ultra matte smooth kitchen door surface",Echtlackfront/SC/602SC_converted.txt
Echtlackfront/SC/204SC_converted.jpeg,/sessions/zen-nice-ritchie/mnt/Frontfarben/Echtlackfront/SC/204SC_converted.jpeg,Echtlackfront,SC,204,"genuine lacquer front SC 204, medium gray ultra matte smooth kitchen door surface",Echtlackfront/SC/204SC_converted.txt
Echtlackfront/SC/114SC_converted.jpeg,/sessions/zen-nice-ritchie/mnt/Frontfarben/Echtlackfront/SC/114SC_converted.jpeg,Echtlackfront,SC,114,"genuine lacquer front SC 114, medium gray ultra matte smooth kitchen door surface",Echtlackfront/SC/114SC_converted.txt
Echtlackfront/SC/730SC_converted.jpeg,/sessions/zen-nice-ritchie/mnt/Frontfarben/Echtlackfront/SC/730SC_converted.jpeg,Echtlackfront,SC,730,"genuine lacquer front SC 730, dark gray ultra matte smooth kitchen door surface",Echtlackfront/SC/730SC_converted.txt
Echtlackfront/SC/430SC_converted.jpeg,/sessions/zen-nice-ritchie/mnt/Frontfarben/Echtlackfront/SC/430SC_converted.jpeg,Echtlackfront,SC,430,"genuine lacquer front SC 430, dark blue ultra matte smooth kitchen door surface",Echtlackfront/SC/430SC_converted.txt
